match_id,innings,over,ball_in_over,b14_actual_runs,b14_predicted_runs
336016,1,17,3,0,1.3482231503491577
336016,1,17,4,0,1.4219557044855589
336016,1,17,5,1,1.4019572040758124
336016,1,17,6,1,1.3922313587135593
336016,1,17,7,1,1.3510906318944422
336016,1,18,1,1,1.5516412366201686
336016,1,18,2,0,1.3836390160909542
336016,1,18,3,0,1.3771491655582861
336016,1,18,4,0,1.2416269162257474
336016,1,18,5,1,1.2142654359271732
336016,1,18,6,0,1.1484952086281108
336016,1,19,1,0,1.1807129229823927
336016,1,19,2,1,1.239152408039869
336016,1,19,3,1,1.2269686729532585
336016,1,19,4,0,1.275998704826869
336016,1,19,5,4,1.2463865471869415
336016,1,19,6,1,1.2167272274969976
336016,1,19,7,0,1.3202920975716685
336016,2,15,1,1,0.9023788948242248
336016,2,15,2,1,0.9080403974227
336016,2,15,3,0,0.6125227945681023
336016,2,15,4,1,0.6913956144576845
336018,1,15,1,1,0.9023788948242248
336018,1,15,2,4,2.485842962026731
336018,1,15,3,2,2.2215805140366163
336018,1,15,4,1,2.04315242334354
336018,1,15,5,1,1.8394737535025207
336018,1,15,6,4,2.1435090230452665
336018,1,16,1,1,2.0817635273463275
336018,1,16,2,1,2.0768811065110215
336018,1,16,3,4,2.1875435453018093
336018,1,16,4,0,2.179853686410665
336018,1,16,5,0,1.8744451108710782
336018,1,16,6,4,2.1584133084738597
336018,1,17,1,1,2.011712928604953
336018,1,17,2,1,2.1578800654937256
336018,1,17,3,1,2.0818217886505566
336018,1,17,4,6,2.394972596608761
336018,1,17,5,4,2.5468130141648606
336018,1,17,6,1,2.3548475895267353
336018,1,18,1,1,2.361188060080796
336018,1,18,2,6,2.264561784211487
336018,1,18,3,0,2.391562714345103
336018,1,18,4,1,2.2924425038550162
336018,1,18,5,6,1.9349498136061927
336018,1,18,6,0,2.7018369626238985
336018,1,19,1,0,2.3219138008238107
336018,1,19,2,0,2.6209456169556007
336018,1,19,3,0,2.362380997965709
336018,1,19,4,0,2.42977168316361
336018,1,19,5,1,2.252745571493659
336018,1,19,6,4,2.327533014453942
336018,1,19,7,1,2.287785427941209
336018,1,19,8,4,2.313180836682902
336018,1,19,9,0,2.3388264852077403
336023,1,15,1,1,0.9023788948242248
336023,1,15,2,1,0.9080403974227
336023,1,15,3,4,2.088270541193096
336023,1,15,4,1,1.7720445878487263
336023,1,15,5,0,1.388045090252713
336023,1,15,6,1,1.3979336866422838
336023,1,16,1,1,1.3920899057793246
336023,1,16,2,4,1.6429931146659222
336023,1,16,3,1,1.6055138308252017
336023,1,16,4,4,1.8941278502417735
336023,1,16,5,2,1.8744451108710782
336023,1,16,6,4,2.1584133084738597
336023,1,17,1,2,2.1356386001455205
