match_id,innings,over,ball_in_over,bowler,w2_actual_future_wicket,w2_predicted_wicket_prob
501229,1,12,6,RA Jadeja,0,0.6102080394672992
501229,2,8,6,DT Christian,0,0.4833763368004726
501230,1,5,6,UT Yadav,1,0.6128452964460251
501230,1,8,6,AB Agarkar,1,0.5388391643411997
501230,1,12,6,M Morkel,1,0.4188299243125089
501230,2,5,6,Iqbal Abdulla,1,0.5043966465419223
501230,2,8,6,JD Unadkat,0,0.39422588421737176
501230,2,12,6,Iqbal Abdulla,1,0.3548324444119244
501230,2,15,6,B Lee,1,0.40840082369544933
501231,1,5,6,A Singh,1,0.4986946195537284
501231,1,12,6,SR Watson,0,0.4403316476209823
501231,1,15,6,J Botha,1,0.6279583087919801
501231,2,5,6,AG Murtaza,0,0.5293942830403916
501231,2,8,6,Harbhajan Singh,0,0.499221505343702
501231,2,15,6,KA Pollard,0,0.5439671507482091
501240,1,5,6,R Ashwin,1,0.6201810191824647
501240,1,8,6,SB Jakati,1,0.5414680509288896
501240,1,12,6,R Ashwin,0,0.36340229774717075
501240,2,5,6,J Botha,0,0.41363429446912464
501240,2,8,6,SR Watson,0,0.520040987678125
501240,2,15,6,SK Trivedi,1,0.397054540614157
501243,1,5,6,M Morkel,1,0.5916498426467455
501243,1,8,6,AB Agarkar,1,0.5817385556392055
501243,1,12,6,AM Salvi,0,0.4695092796914975
501243,2,5,6,I Sharma,0,0.38278702727416286
501243,2,8,6,DT Christian,1,0.3304250756261365
501243,2,12,6,DW Steyn,1,0.3649119421005327
501250,1,5,6,WD Parnell,1,0.5268417431808298
501250,1,8,6,Yuvraj Singh,1,0.6051985715442695
501250,1,12,6,R Sharma,0,0.41722977378496207
501250,1,15,6,MR Marsh,1,0.5043262517130981
501250,2,5,6,A Mishra,1,0.6085830548618177
501250,2,12,6,DT Christian,1,0.596674924079074
501254,1,5,6,SJ Srivastava,1,0.5899484328052512
501254,1,8,6,Bipul Sharma,1,0.5575857648800556
501254,1,12,6,BA Bhatt,0,0.351000346383017
501254,1,15,6,RJ Harris,1,0.4581766250588331
501254,2,5,6,S Sreesanth,0,0.29884205192321733
501254,2,8,6,R Vinay Kumar,0,0.4230425198879138
501254,2,12,6,RA Jadeja,0,0.3515237757495028
501254,2,15,6,RA Jadeja,0,0.367800745658345
501256,1,5,6,DS Kulkarni,1,0.6587111037973717
501256,1,12,6,SL Malinga,0,0.6105651010015845
501256,1,15,6,SL Malinga,0,0.4899423123028115
501256,2,5,6,I Sharma,0,0.31713331145044893
501256,2,8,6,DT Christian,0,0.546745804810928
501256,2,12,6,DT Christian,0,0.38212126861089957
501256,2,15,6,Anand Rajan,1,0.4787861555315698
501265,1,5,6,SS Mundhe,0,0.4864195096440158
501265,1,8,6,MR Marsh,0,0.4264492498852579
501270,1,5,6,SL Malinga,0,0.5740653937529163
501270,1,8,6,KA Pollard,1,0.3913911207500915
501270,1,12,6,KA Pollard,0,0.3732849424464502
501270,1,15,6,AN Ahmed,0,0.34202394930330543
501270,2,5,6,S Aravind,0,0.3872234385184429
501270,2,8,6,DL Vettori,1,0.5328639649968946
501270,2,15,6,J Syed Mohammad,0,0.4228068769232123
548310,1,5,6,M Morkel,0,0.5306057071286138
548310,1,8,6,GJ Maxwell,1,0.534662281748638
548310,1,12,6,S Nadeem,0,0.4011300791893972
548310,2,5,6,AB McDonald,1,0.5186089903006732
548310,2,8,6,DL Vettori,1,0.46056025379440396
548310,2,12,6,HV Patel,0,0.473696626599584
548311,1,5,6,DT Christian,1,0.6853210465036363
548311,1,8,6,TP Sudhindra,0,0.586298272174536
548311,1,12,6,DT Christian,0,0.45436951416016685
548311,2,5,6,DE Bollinger,1,0.6583873213122047
548311,2,12,6,RA Jadeja,1,0.693577287196441
548320,1,8,6,Shakib Al Hasan,1,0.5571215499962541
548320,1,12,6,SP Narine,1,0.5141500692476855
548320,1,15,6,R Bhatia,0,0.5845335850980644
548320,2,5,6,A Singh,1,0.416513444493664
548320,2,8,6,SK Trivedi,0,0.5920452216253899
548320,2,15,6,SK Trivedi,0,0.5074774241140854
548327,1,5,6,DL Vettori,1,0.622575770785405
548327,1,8,6,HV Patel,0,0.5412508008758135
548327,1,12,6,DL Vettori,0,0.4845552623962162
548327,1,15,6,Z Khan,1,0.5671352966056432
548327,2,5,6,MN Samuels,0,0.4128035378081952
548327,2,8,6,B Kumar,0,0.28827169507866196
548327,2,15,6,A Nehra,0,0.3483070126545152
548334,1,5,6,Azhar Mahmood,0,0.5586577794405974
548334,1,8,6,PP Chawla,1,0.5026604064226884
548334,2,5,6,KA Pollard,1,0.5821192969067057
548334,2,8,6,KA Pollard,1,0.5595675900359256
548334,2,12,6,NLTC Perera,0,0.4716503883340236
548337,1,5,6,M Morkel,0,0.5895875657045379
548337,1,8,6,P Negi,0,0.5334305739502476
548337,1,12,6,UT Yadav,0,0.5205642413208988
548337,2,8,6,R Sharma,1,0.5144345524465226
548337,2,12,6,M Kartik,0,0.3070031370712198
548348,1,5,6,WD Parnell,1,0.554951454313775
548348,1,8,6,A Nehra,1,0.47802655639024133
548348,1,12,6,SC Ganguly,0,0.39668815282322745
