match_id,innings,over,ball_in_over,b15_actual_remaining,b15_predicted_remaining
336016,1,19,6,5,1.3601154
336016,1,19,7,4,1.4854276
336016,2,15,1,3,52.024113
336016,2,15,2,2,55.20562
336016,2,15,3,1,57.84523
336016,2,15,4,1,55.42972
336018,1,15,1,67,43.39029
336018,1,15,2,66,39.237484
336018,1,15,3,62,41.27311
336018,1,15,4,60,42.1746
336018,1,15,5,59,41.933388
336018,1,15,6,58,43.074722
336018,1,16,1,54,39.497837
336018,1,16,2,53,31.740158
336018,1,16,3,52,37.38567
336018,1,16,4,48,33.201584
336018,1,16,5,48,31.791521
336018,1,16,6,47,32.725204
336018,1,17,1,43,28.458761
336018,1,17,2,42,27.825134
336018,1,17,3,41,25.037428
336018,1,17,4,40,28.986546
336018,1,17,5,34,31.218222
336018,1,17,6,30,26.729652
336018,1,18,1,29,21.336458
336018,1,18,2,28,23.01764
336018,1,18,3,22,20.079662
336018,1,18,4,22,18.932096
336018,1,18,5,21,17.924126
336018,1,18,6,15,14.70448
336018,1,19,1,15,12.432072
336018,1,19,2,14,11.511715
336018,1,19,3,11,9.488033
336018,1,19,4,10,6.8098335
336018,1,19,5,10,5.054803
336018,1,19,6,9,3.7825222
336018,1,19,7,5,3.475943
336018,1,19,8,4,3.3531034
336018,1,19,9,0,2.622243
336023,1,15,1,54,53.251328
336023,1,15,2,53,50.608856
336023,1,15,3,52,55.140484
336023,1,15,4,48,54.4199
336023,1,15,5,47,48.771626
336023,1,15,6,47,42.546974
336023,1,16,1,46,36.13513
336023,1,16,2,45,37.769047
336023,1,16,3,41,34.94686
336023,1,16,4,40,34.814877
336023,1,16,5,36,32.613304
336023,1,16,6,34,30.103312
336023,1,17,1,30,29.604116
336023,1,17,2,28,25.735546
336023,1,17,3,27,24.943825
336023,1,17,4,23,25.659895
336023,1,17,5,22,25.02648
336023,1,17,6,21,19.767033
336023,1,18,1,20,17.179363
336023,1,18,2,20,16.305716
336023,1,18,3,19,15.036165
336023,1,18,4,15,15.841485
336023,1,18,5,14,13.588348
336023,1,18,6,12,11.108319
336023,1,19,1,11,11.069291
336023,1,19,2,10,9.398385
336023,1,19,3,8,7.0362096
336023,1,19,4,6,3.5259497
336023,1,19,5,4,2.4445205
336023,1,19,6,2,0.94744503
336023,2,15,1,49,20.794052
336023,2,15,2,49,16.963074
336023,2,15,3,49,16.349953
336023,2,15,4,49,17.386042
336023,2,15,5,48,15.731923
336023,2,15,6,47,12.46202
336023,2,16,1,43,17.134274
336023,2,16,2,43,17.826607
336023,2,16,3,43,20.998981
336023,2,16,4,37,19.461992
336023,2,16,5,37,13.063648
336023,2,16,6,31,26.775736
336023,2,17,1,25,23.310379
336023,2,17,2,25,25.050802
336023,2,17,3,24,20.6332
336023,2,17,4,23,19.521742
336023,2,17,5,22,22.277393
336023,2,17,6,18,17.413387
336023,2,18,1,18,16.773937
336023,2,18,2,17,16.054655
336023,2,18,3,15,15.392594
336023,2,18,4,14,11.604475
336023,2,18,5,14,8.010575
336023,2,18,6,14,6.0513687
336023,2,19,1,14,8.695781
336023,2,19,2,10,7.142799
336023,2,19,3,10,4.999887
336023,2,19,4,10,3.4656138
336023,2,19,5,10,3.9760408
336023,2,19,6,6,3.2385044
336037,1,15,1,54,41.55851
336037,1,15,2,52,38.51485
336037,1,15,3,51,36.24662
336037,1,15,4,50,30.008986
336037,1,15,5,49,26.351171
336037,1,15,6,48,34.22434
336037,1,15,7,44,31.313108
336037,1,16,1,43,31.770767
336037,1,16,2,42,34.100975
336037,1,16,3,38,28.341534
336037,1,16,4,38,27.31884
336037,1,16,5,37,28.120094
336037,1,16,6,36,27.202421
336037,1,17,1,35,27.163286
336037,1,17,2,31,29.429888
336037,1,17,3,25,30.05186
336037,1,17,4,24,28.476685
336037,1,17,5,24,24.817982
336037,1,17,6,23,22.204708
336037,1,17,7,21,20.639042
336037,1,18,1,20,21.216118
336037,1,18,2,16,19.764418
336037,1,18,3,15,21.053394
336037,1,18,4,14,14.476051
336037,1,18,5,14,12.259543
336037,1,18,6,13,10.111574
336037,1,18,7,13,11.9274435
336037,1,19,1,7,11.1968155
336037,1,19,2,6,9.691596
336037,1,19,3,2,7.8771205
336037,1,19,4,1,4.7971873
336037,1,19,5,1,4.0347075
336037,1,19,6,0,1.6274186
336037,2,15,1,34,43.460587
336037,2,15,2,33,44.463745
336037,2,15,3,33,43.806538
336037,2,15,4,32,43.233807
336037,2,15,5,31,37.657227
336037,2,15,6,31,29.4334
336037,2,16,1,31,30.907242
336037,2,16,2,30,33.751038
336037,2,16,3,29,33.973732
336037,2,16,4,28,26.310295
336037,2,16,5,28,23.080412
336037,2,16,6,28,21.909466
336037,2,17,1,28,22.035534
336037,2,17,2,26,20.06575
336037,2,17,3,25,18.598259
336037,2,17,4,24,22.737974
336037,2,17,5,20,21.229189
336037,2,17,6,18,21.493002
336037,2,18,1,17,20.20221
336037,2,18,2,16,19.641922
336037,2,18,3,13,19.799377
336037,2,18,4,12,17.408827
336037,2,18,5,8,15.469525
336037,2,18,6,7,12.449263
336037,2,19,1,7,13.292424
336037,2,19,2,6,11.319348
392190,1,15,1,43,52.95428
392190,1,15,2,42,51.284695
392190,1,15,3,41,48.496765
