match_id,innings,over,b6_actual_score,b6_predicted_score
335995,2,2,15,14.304697737925137
335995,2,3,15,13.892702533915353
335995,2,3,15,13.892702533915353
335995,2,3,15,15.880736833772735
335995,2,3,40,26.797408289103444
335995,2,3,40,32.29013073719591
335995,2,3,40,35.46486485331841
335995,2,4,15,15.174473663431257
335995,2,4,40,34.9121648880694
335995,2,4,40,34.9121648880694
335995,2,4,40,34.9121648880694
335995,2,4,40,41.14265864717614
335995,2,4,40,43.518952262454704
335995,2,5,15,18.91681427395447
335995,2,5,15,22.64237800985526
335995,2,5,15,23.73619315461849
335995,2,5,40,45.1145423074778
335995,2,5,15,23.73619315461849
335995,2,5,15,27.44878007013606
335995,2,6,40,45.59676023401451
335995,2,6,40,45.86294888487405
335995,2,6,15,28.63938021998559
335995,2,6,40,49.0969645014888
335995,2,6,40,50.05468296063255
335995,2,6,15,28.63938021998559
335995,2,7,40,51.309740368045624
335995,2,7,40,52.55720243205568
335995,2,7,15,27.659773224116307
335995,2,7,40,53.53974305444785
335995,2,7,40,54.62403656304371
335995,2,7,15,27.659773224116307
335995,2,7,15,27.659773224116307
335995,2,7,17,13.7008611550585
335995,2,8,17,13.168034990390714
335995,2,8,17,13.168034990390714
335995,2,8,17,14.489132453901071
335995,2,8,30,16.70524463163098
335995,2,8,30,16.70524463163098
335995,2,8,30,16.70524463163098
335995,2,9,17,15.759849392283389
335995,2,9,30,17.861327027264224
335995,2,9,17,15.759849392283389
335995,2,9,17,19.98041636275468
335995,2,9,17,19.98041636275468
335995,2,9,17,19.98041636275468
335995,2,10,30,21.42098767285107
335995,2,10,30,21.42098767285107
335995,2,10,30,21.42098767285107
335995,2,10,30,22.563099168453334
335995,2,10,30,22.563099168453334
335995,2,10,30,23.65721657201124
335995,2,10,17,19.88943576252505
335995,2,11,30,26.931393602811973
335995,2,11,30,30.806336166375058
335995,2,11,30,30.806336166375058
335995,2,11,30,33.210816221962084
335995,2,11,30,33.210816221962084
335995,2,11,30,34.76963800725272
335995,2,11,17,20.032545573773742
335995,2,12,30,32.929004309758035
335995,2,12,30,32.929004309758035
335995,2,12,30,32.929004309758035
335995,2,12,30,38.07644604151984
335995,2,12,30,39.228630226011674
335995,2,12,17,26.54538371079773
335995,2,13,30,37.094587914006226
335995,2,13,30,37.094587914006226
335995,2,13,30,38.32999722343024
335995,2,13,17,26.613766862789966
335995,2,13,30,38.325429114154154
335995,2,13,17,27.615302245995316
335995,2,13,30,38.325429114154154
335995,2,14,7,8.934925290940209
335995,2,14,7,10.008498169994892
335995,2,14,15,10.008498169994892
335995,2,14,7,10.008498169994892
335995,2,14,7,11.653356291638513
335995,2,14,15,11.653356291638513
335995,2,15,15,11.543703355993813
335995,2,15,7,11.543703355993813
335995,2,15,15,17.61746964620713
335995,2,15,15,18.818507960052898
335995,2,15,7,11.543703355993813
335995,2,15,7,12.879159558824194
335995,2,16,7,15.382666689068396
335995,2,16,15,22.326679457392185
335995,2,16,15,23.81059692804219
335995,2,16,7,15.382666689068396
335995,2,16,10,6.354854754558556
335995,2,16,10,7.984222302631097
335995,2,17,10,11.221404412450351
335995,2,17,10,11.221404412450351
335995,2,17,2,6.8014922997146705
335995,2,17,10,12.562161638294171
335995,2,17,2,8.435757640921338
335995,2,17,10,16.48607450087442
335995,2,17,10,16.48607450087442
335995,2,18,6,3.2967858871624203
335995,2,18,6,4.905412611376321
335995,2,18,1,3.2967858871624203
335995,2,18,1,3.2967858871624203
335995,2,18,1,4.905412611376321
335995,2,18,6,6.019919328296965
335995,2,19,6,3.6318837557013945
335995,2,19,6,3.6318837557013945
335995,2,19,6,8.732395614023636
335996,1,0,7,15.698447001855044
335996,1,0,13,15.291252546080198
