match_id,innings,over,ball_in_over,b13_actual,b13_predicted_prob
335990,2,13,2,0,0.5482567922678689
335990,2,13,3,0,0.5414045696617572
335990,2,13,4,0,0.5304863017349857
335990,2,13,5,0,0.5275997767280157
335990,2,13,6,0,0.5165836984055909
335990,2,14,1,0,0.5439460546052751
335990,2,14,2,0,0.5519435080136781
335990,2,14,3,0,0.5260152117865219
335990,2,14,4,0,0.5190387823217802
335990,2,14,5,0,0.532682055965374
335990,2,14,6,0,0.5652539440491745
335990,2,15,1,0,0.5517223571512103
335990,2,15,2,0,0.5258273785578316
335990,2,15,3,0,0.5397219915783608
335990,2,15,4,0,0.5642277732114952
335990,2,15,5,0,0.5574271701675101
335990,2,15,6,0,0.5441688762887993
335990,2,16,1,0,0.5824283299712212
335990,2,16,2,0,0.5757091330921008
335990,2,16,3,0,0.5501012185684162
335990,2,16,4,0,0.5432384567494738
335990,2,16,5,0,0.5363442470123314
335990,2,16,6,0,0.5336747068527774
335990,2,17,1,1,0.6786734711204536
335990,2,17,2,0,0.6725538579838609
335990,2,17,3,1,0.7818098468008134
335990,2,17,4,0,0.7769849467957175
335990,2,17,5,0,0.7690256504273044
335990,2,17,6,0,0.760849143827115
335990,2,17,7,0,0.7651298474091721
335990,2,18,1,0,0.7822360724535655
335990,2,18,2,0,0.7669875513488136
335990,2,18,3,1,0.8516165791222261
335990,2,18,4,0,0.8479973979023191
335990,2,18,5,1,0.9067653967618384
335990,2,18,6,0,0.9043306245988405
335990,2,18,7,0,0.90183567243275
335990,2,19,1,0,0.9051904699375728
335990,2,19,2,0,0.9027112533976929
335990,2,19,3,0,0.9048170369854585
335990,2,19,4,0,0.9159071492414648
335990,2,19,5,0,0.9204005888397278
335995,1,0,1,0,0.4511755557045945
335995,1,0,2,0,0.3974570044617372
335995,1,0,3,0,0.3752011273350757
335995,1,0,4,0,0.3607064729059521
335995,1,0,5,0,0.3128154199527551
335995,1,0,6,0,0.32826702622600046
335995,1,1,1,0,0.32100485266454626
335995,1,1,2,0,0.3172587369892012
335995,1,1,3,0,0.31288951457804354
335995,1,1,4,0,0.3117656695543662
335995,1,1,5,1,0.4492061063363874
335995,1,1,6,0,0.4442722009664941
335995,1,1,7,0,0.43815348874943044
335995,1,2,1,0,0.44329262190672897
335995,1,2,2,0,0.4343835113983937
335995,1,2,3,1,0.5756819343081471
335995,1,2,4,0,0.5656605076493101
335995,1,2,5,0,0.5766214546831517
335995,1,2,6,0,0.5497011783095945
335995,1,3,1,0,0.5554663562239015
335995,1,3,2,0,0.5467354393743975
335995,1,3,3,0,0.5411284458025704
335995,1,3,4,0,0.5556341336105554
335995,1,3,5,0,0.5485347970365344
335995,1,3,6,0,0.5223364578901318
335995,1,3,7,0,0.5150918140469384
335995,1,4,1,0,0.5252059227734428
335995,1,4,2,0,0.5373354847687638
335995,1,4,3,0,0.5112926507601341
335995,1,4,4,0,0.5042555402759455
335995,1,4,5,0,0.5035794613542982
335995,1,4,6,0,0.5136310865757198
335995,1,5,1,0,0.4992415612780018
335995,1,5,2,0,0.48973729691198736
335995,1,5,3,0,0.4899748775890701
335995,1,5,4,0,0.4995169601680248
335995,1,5,5,0,0.4733008697127979
335995,1,5,6,1,0.6119096885390706
335995,1,6,1,0,0.566721699886101
335995,1,6,2,0,0.5595108265594294
335995,1,6,3,0,0.549406965034232
335995,1,6,4,0,0.5449648691637826
335995,1,6,5,0,0.5346661736624628
335995,1,6,6,0,0.5302805114232968
335995,1,6,7,0,0.5321241293760748
335995,1,7,1,1,0.6930959369764114
335995,1,7,2,0,0.6701345915962902
335995,1,7,3,0,0.6635978749474902
335995,1,7,4,0,0.6569855709211893
335995,1,7,5,0,0.6503000661616452
335995,1,7,6,0,0.6404798566876614
335995,1,8,1,0,0.6434306301981437
335995,1,8,2,0,0.6333767091560033
335995,1,8,3,0,0.6263580828309157
335995,1,8,4,0,0.61928018352167
335995,1,8,5,0,0.6088180387794193
335995,1,8,6,0,0.5981926779527503
335995,1,9,1,0,0.6077404201567949
335995,1,9,2,0,0.6039228127097874
335995,1,9,3,0,0.6070528063809669
335995,1,9,4,0,0.6180957799930018
335995,1,9,5,0,0.5891335923617345
335995,1,9,6,0,0.5782393137622559
335995,1,10,1,0,0.6024359898354346
335995,1,10,2,0,0.6135672793903563
335995,1,10,3,0,0.5844438960482033
335995,1,10,4,0,0.5734709712506613
335995,1,10,5,0,0.5772687801949029
335995,1,10,6,0,0.588615595416569
335995,1,11,1,0,0.5764032751129986
335995,1,11,2,0,0.5804065550185753
335995,1,11,3,0,0.588014047106759
335995,1,11,4,0,0.562060707689075
335995,1,11,5,0,0.5547158299170862
335995,1,11,6,1,0.6847895701929806
335995,1,12,1,0,0.6870305118178184
335995,1,12,2,0,0.6907865664659042
335995,1,12,3,0,0.6973157345148303
335995,1,12,4,0,0.6744030606191473
335995,1,12,5,0,0.6642329474319529
335995,1,12,6,0,0.6575076940436897
335995,1,13,1,0,0.6597368930995943
335995,1,13,2,0,0.6529477763876802
335995,1,13,3,0,0.6460922289560218
