match_id,innings,over,ball_in_over,bowler,w11_actual_future_runs,w11_predicted_future_runs
598006,2,12,6,PP Ojha,14,8.946671325275576
598006,2,15,6,SL Malinga,3,7.851831736969527
598013,1,5,6,I Sharma,21,18.979024603335045
598013,1,8,6,A Mishra,13,15.516293971099914
598013,1,12,6,NLTC Perera,21,8.251713056226102
598013,2,5,6,SMSM Senanayake,5,10.158059031840516
598013,2,8,6,JH Kallis,7,15.072801481640848
598013,2,12,6,L Balaji,5,10.841579989021696
598013,2,15,6,SP Narine,7,8.375989035820965
598019,1,5,6,SL Malinga,10,17.14760300690023
598019,1,8,6,Harbhajan Singh,23,21.22858589912979
598019,1,12,6,SL Malinga,6,11.920169913874984
598019,1,15,6,PP Ojha,9,9.07660767303443
598019,2,8,6,SK Trivedi,14,16.076881350168417
598019,2,12,6,JP Faulkner,4,15.963596413787904
598019,2,15,6,KK Cooper,5,11.71922089300255
598021,1,5,6,I Sharma,12,19.216498370791786
598021,1,8,6,KV Sharma,14,13.028181203978335
598021,1,12,6,NLTC Perera,10,16.460230383698963
598021,1,15,6,A Mishra,9,9.762148230719689
598021,2,5,6,Azhar Mahmood,28,18.993304015103238
598021,2,8,6,AD Mascarenhas,10,7.896154551165446
598021,2,12,6,Azhar Mahmood,23,13.598935122824157
598021,2,15,6,MS Gony,7,9.87878092583647
598054,1,5,6,UT Yadav,57,23.901701984137627
598054,1,8,6,UT Yadav,48,11.23238724302685
598054,1,12,6,M Morkel,18,10.365401270370468
598054,1,15,6,S Kaul,12,9.301460647624209
598054,2,5,6,JD Unadkat,18,14.164787716002058
598054,2,8,6,J Syed Mohammad,2,12.798533297638583
598054,2,12,6,R Vinay Kumar,22,9.173687054867026
598055,1,5,6,AN Ahmed,5,6.314981490099978
598055,1,8,6,PP Ojha,14,10.93688026631249
598055,1,12,6,SL Malinga,10,10.945873523967833
598055,2,5,6,KW Richardson,10,12.739113585047656
598055,2,8,6,BAW Mendis,7,7.25730781478001
598055,2,12,6,Yuvraj Singh,10,8.428957219796752
598055,2,15,6,AB Dinda,12,11.094390490624438
598060,1,5,6,Harbhajan Singh,7,15.203464897030447
598060,1,8,6,PP Ojha,19,14.378140310642886
598060,1,12,6,MG Johnson,12,9.164835445155799
598060,2,5,6,I Sharma,13,8.701179690329255
598060,2,8,6,KV Sharma,15,14.22478418485927
598060,2,15,6,DW Steyn,5,8.473271229537128
598061,1,5,6,SMSM Senanayake,5,5.722595813779842
598061,1,12,6,L Balaji,18,6.352005661357469
598061,2,5,6,AD Mathews,22,16.54602588222937
598061,2,8,6,AD Mathews,10,11.688495587305557
598061,2,12,6,AG Murtaza,8,7.762506749962591
598063,1,5,6,SR Watson,22,15.160074822819944
598063,1,8,6,KK Cooper,20,21.06384503005052
598063,1,12,6,KK Cooper,15,18.050035784930405
598063,1,15,6,JP Faulkner,5,12.883648026555067
598063,2,5,6,DS Kulkarni,10,8.714346076025022
598063,2,8,6,Harbhajan Singh,16,13.316592143531265
598067,1,5,6,UT Yadav,50,23.015975684206396
598067,1,8,6,UT Yadav,33,10.89693084577209
598067,1,12,6,S Nadeem,10,6.823444109208897
598067,1,15,6,M Morkel,10,7.806551196924304
598067,2,5,6,B Kumar,14,15.18417849128542
598067,2,8,6,AD Mathews,9,21.816201421886575
598067,2,15,6,WD Parnell,0,7.049344726064435
598068,1,5,6,DJ Bravo,16,27.296076775867938
598073,1,8,6,R Ashwin,17,20.787474556560444
598073,1,12,6,R Ashwin,6,9.28049155952579
598073,1,15,6,DJ Bravo,30,18.955207507478132
598073,2,8,6,Harbhajan Singh,2,14.492856227217887
598073,2,12,6,PP Ojha,10,8.398873390248529
598073,2,15,6,KA Pollard,20,14.300852830487266
729283,1,5,6,MG Johnson,23,23.971665060970963
729283,1,8,6,AR Patel,12,8.8042950357129
729283,1,15,6,MG Johnson,8,10.752205403610239
729283,2,5,6,R Ashwin,21,19.09404374551719
729283,2,8,6,P Negi,22,14.244827122382674
729283,2,12,6,P Negi,2,6.951641085666882
729285,1,5,6,JP Faulkner,6,18.559141638835694
729285,1,8,6,PV Tambe,8,14.170260448532485
729285,1,12,6,PV Tambe,5,9.936864191010143
729285,2,5,6,B Kumar,9,9.499065216639055
729285,2,8,6,A Mishra,21,17.761231119182646
729285,2,12,6,KV Sharma,2,11.544714081027578
729285,2,15,6,A Mishra,7,8.894274565252438
729287,1,5,6,JA Morkel,0,9.03211217028458
729287,1,8,6,AB Dinda,12,23.24985536025843
