match_id,innings,over,ball_in_over,b1_actual_score,b1_predicted_score
335990,1,18,5,214,194.33844781853472
335990,1,18,6,214,194.33844781853472
335990,1,18,7,214,194.03083441992618
335990,1,18,8,214,196.27398682547707
335990,1,19,1,214,196.46622673971623
335990,1,19,2,214,196.46622673971623
335990,1,19,3,214,197.7917790860803
335990,1,19,4,214,203.93334887939545
335990,1,19,5,214,197.6616226391157
335990,1,19,6,214,197.7917790860803
335990,1,19,7,214,196.80495165544295
335990,2,0,1,217,137.42076754896144
335990,2,0,2,217,137.42076754896144
335990,2,0,3,217,149.45924991723624
335990,2,0,4,217,145.91181405912351
335990,2,0,5,217,137.66366413708255
335990,2,0,6,217,136.7815851380596
335990,2,1,1,217,145.65746331229295
335990,2,1,2,217,145.13372544719945
335990,2,1,3,217,147.19690480389744
335990,2,1,4,217,147.6463759689186
335990,2,1,5,217,146.0386336234856
335990,2,1,6,217,142.99333835235956
335990,2,2,1,217,141.20753174712627
335990,2,2,2,217,140.31197683829947
335990,2,2,3,217,139.42989783927652
335990,2,2,4,217,138.97077376149596
335990,2,2,5,217,136.5969983874435
335990,2,2,6,217,139.0544352155332
335990,2,3,1,217,139.0544352155332
335990,2,3,2,217,144.51492392421537
335990,2,3,3,217,151.11252994041703
335990,2,3,4,217,149.49452966458296
335990,2,3,5,217,153.9446013983179
335990,2,3,6,217,150.51476518133822
335990,2,3,7,217,149.81777692866498
335990,2,4,1,217,158.8930958571984
335990,2,4,2,217,160.34096369640602
335990,2,4,3,217,157.9222356834792
335990,2,4,4,217,157.6907603311753
335990,2,4,5,217,157.45310496863067
335990,2,4,6,217,157.93123965119435
335990,2,5,1,217,158.64513047723895
335990,2,5,2,217,158.93554370649386
335990,2,5,3,217,160.28623310811716
335990,2,5,4,217,161.3908034513589
335990,2,5,5,217,161.09605546909424
335990,2,5,6,217,160.24152647207836
335990,2,6,1,217,161.67216207317034
