match_id,innings,over,b11_actual_final_score,b11_predicted_final_score
336036,2,18,21,20.98788457904782
336036,2,19,21,20.834438610469345
392188,1,0,26,24.742903440656814
392188,1,1,26,29.818878019323314
392188,1,2,26,29.723094033259347
392188,1,3,26,29.883326881934533
392188,1,4,26,27.846919499249395
392188,1,5,26,27.103211693417126
392188,1,6,26,26.858637583725216
392188,1,7,26,25.554103759190756
392188,1,8,26,26.159667123907543
392188,1,9,26,25.153377054018655
392188,1,10,26,24.94480965669432
392188,1,11,26,23.559499035757746
392188,1,12,26,23.146518101522883
392188,1,13,26,24.160534053477456
392188,1,14,26,25.215725962974123
392188,1,15,26,24.835938399926725
392188,1,16,26,24.383101320526258
392188,1,17,26,24.174713686339388
392188,1,18,26,23.472208020685635
392188,1,19,26,25.965987836684683
392188,2,0,31,29.15646985930138
392188,2,1,31,28.936383263684927
392188,2,2,31,28.274122164763565
392188,2,3,31,26.96061636847153
392188,2,4,31,25.341552764126465
392188,2,5,31,25.83650060144446
392188,2,6,31,24.664824472614562
392188,2,7,31,23.9764838236092
392188,2,8,31,23.163667834076374
392188,2,9,31,23.667990754629244
392188,2,10,31,23.41648402510598
392188,2,11,31,29.130330315762617
392188,2,12,31,29.631980171800283
392188,2,13,31,29.217120097539947
392188,2,14,31,27.875432622192367
392188,2,15,31,28.870797453972806
392188,2,16,31,29.57428696675649
392188,2,17,31,33.225213392719745
392188,2,18,31,31.923923715113133
392188,2,19,31,30.856798819907922
392212,1,0,12,24.742903440656814
392212,1,1,12,23.360823407600794
392212,1,2,12,21.83721823967761
392212,1,3,12,21.77985718050038
392212,1,4,12,20.50407625304267
392212,1,5,12,18.706933621537846
392212,1,6,12,18.84428230279886
392212,1,7,12,19.433627762900244
392212,1,8,12,19.145014585174525
392212,1,9,12,18.09504393042048
392212,1,10,12,17.568030213037332
392212,1,11,12,16.85698356642975
392212,1,12,12,14.510215519007344
392212,1,13,12,13.330287743602835
392212,1,14,12,12.739952956737557
392212,1,15,12,13.412407455647124
392212,1,16,12,13.032947211226972
392212,1,17,12,12.814874633234252
392212,1,18,12,11.361085036036393
392212,1,19,12,11.776209545341251
392212,2,0,37,24.742903440656814
392212,2,1,37,23.360823407600794
392212,2,2,37,24.320261042689772
392212,2,3,37,26.96061636847153
392212,2,4,37,27.846919499249395
392212,2,5,37,27.13978917415464
392212,2,6,37,29.42374728118146
392212,2,7,37,33.412726903522774
392212,2,8,37,33.186321487652314
392212,2,9,37,34.63934266137901
392212,2,10,37,34.236244083653986
392212,2,11,37,37.44921304734449
392212,2,12,37,38.10134497876044
392212,2,13,37,37.67204866850072
392212,2,14,37,36.99769098688164
392212,2,15,37,35.08986231555389
392212,2,16,37,33.9309565960577
392212,2,17,37,32.92354382325747
392212,2,18,37,38.58619660924715
392212,2,19,37,37.281592922705826
392216,1,0,23,25.472137899796575
392216,1,1,23,24.950306230712744
392216,1,2,23,23.46225018842174
392216,1,3,23,21.77985718050038
392216,1,4,23,21.91084879901094
392216,1,5,23,23.170953010846766
392216,1,6,23,21.533589115534873
392216,1,7,23,21.5673308014796
392216,1,8,23,25.350121374437194
392216,1,9,23,25.153377054018655
392216,1,10,23,23.41648402510598
392216,1,11,23,23.197573736455375
392216,1,12,23,23.146518101522883
392216,1,13,23,22.780309599141333
392216,1,14,23,23.67811611685336
392216,1,15,23,23.904362077873273
392216,1,16,23,22.9313599680253
392216,1,17,23,23.7662909894073
392216,1,18,23,23.579106211753768
392216,1,19,23,23.0523284747198
392216,2,0,37,25.472137899796575
392216,2,1,37,24.14291735907651
392216,2,2,37,31.509233873631572
392216,2,3,37,35.386576129854255
392216,2,4,37,33.253804753132925
392216,2,5,37,31.188723014008126
392216,2,6,37,34.06233107771249
392216,2,7,37,33.412726903522774
392216,2,8,37,35.08879678300493
392216,2,9,37,34.49663192477838
392216,2,10,37,37.54887259158544
392216,2,11,37,36.23105125268429
392216,2,12,37,35.238826987977454
392216,2,13,37,34.242947385550046
392216,2,14,37,34.348067685611475
392216,2,15,37,34.030238153565776
392216,2,16,37,39.66622239751491
392216,2,17,37,38.562885569457386
392216,2,18,37,38.58619660924715
392216,2,19,37,37.281592922705826
392220,1,0,36,29.88090225962828
392220,1,1,36,29.818878019323314
392220,1,2,36,29.723094033259347
392220,1,3,36,35.386576129854255
392220,1,4,36,33.253804753132925
392220,1,5,36,31.188723014008126
392220,1,6,36,31.789149689606845
392220,1,7,36,31.5399753424018
392220,1,8,36,32.49648023229994
392220,1,9,36,35.32861204416334
392220,1,10,36,34.55411689627376
392220,1,11,36,33.37627178690628
392220,1,12,36,32.33819898927599
392220,1,13,36,31.739334460244724
392220,1,14,36,32.065227255421604
392220,1,15,36,36.72023468279553
392220,1,16,36,37.698886763841564
392220,1,17,36,36.22628244691205
392220,1,18,36,35.535497544457954
392220,1,19,36,36.01965845680946
392220,2,0,21,29.15646985930138
392220,2,1,21,28.035544894061687
392220,2,2,21,26.404017028966788
392220,2,3,21,26.095123345457043
392220,2,4,21,23.985600185590336
392220,2,5,21,23.170953010846766
392220,2,6,21,23.084146004817416
392220,2,7,21,21.5673308014796
392220,2,8,21,21.717984876378843
392220,2,9,21,20.997447982593517
392220,2,10,21,24.94480965669432
392220,2,11,21,23.559499035757746
392220,2,12,21,22.402910172004148
392220,2,13,21,22.196496790765977
392220,2,14,21,25.215725962974123
392220,2,15,21,24.835938399926725
392220,2,16,21,24.383101320526258
392220,2,17,21,23.7662909894073
392220,2,18,21,22.791603848024504
392220,2,19,21,20.834438610469345
392223,1,0,31,25.472137899796575
392223,1,1,31,28.936383263684927
392223,1,2,31,27.341176370106144
392223,1,3,31,26.095123345457043
392223,1,4,31,23.985600185590336
392223,1,5,31,27.103211693417126
392223,1,6,31,26.858637583725216
392223,1,7,31,26.615281056689756
392223,1,8,31,26.159667123907543
392223,1,9,31,26.197008875443384
392223,1,10,31,26.081249719974664
392223,1,11,31,24.860756406873477
392223,1,12,31,24.13986369182852
392223,1,13,31,22.780309599141333
392223,1,14,31,21.882852485125625
392223,1,15,31,24.835938399926725
392223,1,16,31,22.024321787348793
392223,1,17,31,21.829994026549425
392223,1,18,31,26.863449593838325
392223,1,19,31,30.869728071650044
392223,2,0,15,29.15646985930138
392223,2,1,15,28.035544894061687
392223,2,2,15,26.404017028966788
392223,2,3,15,26.095123345457043
392223,2,4,15,23.985600185590336
392223,2,5,15,23.170953010846766
392223,2,6,15,21.533589115534873
392223,2,7,15,21.5673308014796
392223,2,8,15,21.093810301034033
392223,2,9,15,19.86793156014888
