match_id,innings,over,ball_in_over,bowler,optimization_score
336025,1,8,6,M Muralitharan,1.366666666666667
336025,1,12,6,JA Morkel,0.44166666666666654
336025,1,15,6,M Muralitharan,3.9875
336025,2,5,6,AB Agarkar,1.5333333333333334
336026,1,5,6,VY Mahesh,1.5083333333333335
336026,1,8,6,MF Maharoof,-3.125
336026,1,12,6,VY Mahesh,1.8411764705882354
336026,1,15,6,MF Maharoof,-7.966666666666667
336026,2,5,6,JH Kallis,5.116666666666667
336026,2,8,6,B Akhil,-1.25
336026,2,12,6,B Akhil,-1.25
336026,2,15,6,A Kumble,-4.308333333333333
336027,1,5,6,SR Watson,1.7583333333333335
336027,1,8,6,SK Warne,-2.05
336027,1,12,6,SK Warne,1.8722222222222222
336027,1,15,6,MM Patel,-3.941666666666667
336027,2,5,6,Umar Gul,-8.0
336027,2,8,6,AB Agarkar,3.8888888888888884
336027,2,12,6,AB Dinda,1.438888888888889
336027,2,15,6,I Sharma,0.2833333333333335
336028,1,5,6,VS Yeligati,5.066666666666667
336028,1,8,6,DR Smith,4.333333333333333
336028,1,12,6,SD Chitnis,4.7
336028,1,15,6,CRD Fernando,3.177777777777778
336028,2,5,6,VRV Singh,4.9
336028,2,8,6,PP Chawla,-2.2833333333333337
336028,2,12,6,VRV Singh,6.277777777777778
336028,2,15,6,PP Chawla,-3.9000000000000004
336029,1,5,6,MS Gony,-6.266666666666666
336029,1,8,6,M Muralitharan,-1.725
336029,1,12,6,JA Morkel,1.5333333333333334
336029,1,15,6,L Balaji,-0.016666666666666774
336029,2,5,6,JH Kallis,-1.1
336029,2,8,6,R Vinay Kumar,0.8
336029,2,12,6,R Vinay Kumar,0.011764705882353066
336029,2,15,6,DW Steyn,-2.822222222222222
336031,1,5,6,RR Powar,-0.17999999999999972
336031,1,8,6,PP Chawla,1.366666666666667
336031,1,12,6,RR Powar,1.477777777777778
336031,1,15,6,PP Chawla,2.1958333333333337
336031,2,5,6,RP Singh,5.791666666666667
336031,2,8,6,Y Venugopal Rao,4.841666666666667
336031,2,12,6,PP Ojha,-2.2
336031,2,15,6,SB Styris,-0.2777777777777778
336032,1,5,6,VY Mahesh,7.65
336032,1,8,6,MF Maharoof,1.11875
336032,1,12,6,VY Mahesh,-2.8666666666666667
336032,1,15,6,A Mishra,-0.8291666666666667
336032,2,5,6,DS Kulkarni,1.5333333333333334
336032,2,8,6,DR Smith,1.8400000000000003
336032,2,12,6,DR Smith,-2.5333333333333337
336032,2,15,6,A Nehra,-0.3333333333333334
336033,1,5,6,MS Gony,4.522222222222222
336033,1,8,6,JA Morkel,3.55
336033,1,12,6,M Muralitharan,2.988888888888889
336033,1,15,6,M Muralitharan,2.7375000000000003
336033,2,5,6,Pankaj Singh,3.1666666666666665
336033,2,8,6,SK Warne,-1.725
336033,2,12,6,MM Patel,7.558333333333334
336033,2,15,6,Pankaj Singh,2.5833333333333335
336034,1,5,6,Shahid Afridi,2.4833333333333334
336034,1,8,6,SB Bangar,6.966666666666667
336034,1,12,6,PP Ojha,-2.238888888888889
336034,1,15,6,PP Ojha,-2.3083333333333336
336034,2,5,6,P Kumar,-3.6
336034,2,8,6,JH Kallis,-1.1
336034,2,12,6,P Kumar,-0.6666666666666667
336034,2,15,6,DW Steyn,0.75
336035,1,5,6,I Sharma,6.290909090909091
336035,1,8,6,LR Shukla,5.260000000000001
336035,1,12,6,BAW Mendis,-0.8944444444444443
336035,1,15,6,I Sharma,4.227777777777778
336035,2,5,6,S Sreesanth,-2.905555555555556
336035,2,8,6,PP Chawla,-0.5166666666666668
336035,2,12,6,IK Pathan,1.9277777777777776
336035,2,15,6,JR Hopes,2.175
336036,1,5,6,YK Pathan,-2.05
336036,1,8,6,SK Trivedi,0.8
336036,1,12,6,SK Trivedi,-2.3117647058823527
336036,1,15,6,SK Warne,0.3695652173913044
336036,2,5,6,CRD Fernando,-3.8200000000000003
336036,2,8,6,AM Nayar,0.8
336036,2,12,6,ST Jayasuriya,0.55
336036,2,15,6,CRD Fernando,-4.9222222222222225
336037,1,5,6,MS Gony,-1.8611111111111112
336037,1,8,6,M Muralitharan,3.3
336037,1,12,6,M Muralitharan,-1.4166666666666667
336037,1,15,6,JA Morkel,3.3588235294117648
336037,2,5,6,Shahid Afridi,-0.1499999999999999
336037,2,8,6,PM Sarvesh Kumar,0.7166666666666665
336037,2,12,6,SB Styris,2.341666666666667
336037,2,15,6,PP Ojha,-1.3388888888888886
336038,1,5,6,VY Mahesh,6.75
336038,1,8,6,MF Maharoof,-5.741666666666666
336038,1,12,6,Mohammad Asif,3.5888888888888886
336038,1,15,6,A Mishra,-1.6291666666666662
336038,2,5,6,SR Watson,-7.888888888888889
336038,2,8,6,SK Warne,2.9333333333333336
336038,2,12,6,SK Warne,-3.4111111111111105
336038,2,15,6,MM Patel,-7.3375
336039,1,5,6,M Ntini,-3.183333333333333
336039,1,8,6,MS Gony,-7.841666666666667
336039,1,12,6,L Balaji,1.25
336039,1,15,6,M Muralitharan,-1.6173913043478265
336039,2,5,6,VRV Singh,0.5833333333333333
336039,2,8,6,JR Hopes,2.4833333333333334
336039,2,12,6,RR Powar,3.7555555555555555
336040,1,5,6,YK Pathan,-2.65
336040,1,8,6,YK Pathan,-3.8333333333333335
336040,1,12,6,YK Pathan,-6.108333333333333
336040,1,15,6,Sohail Tanvir,2.6833333333333336
336040,2,5,6,MS Gony,0.7500000000000004
336040,2,8,6,JA Morkel,-3.5999999999999996
336040,2,12,6,M Muralitharan,3.8333333333333335
336040,2,15,6,L Balaji,4.7666666666666675
392181,1,5,6,T Thushara,-0.9666666666666666
392181,1,8,6,JDP Oram,2.1166666666666667
392181,1,12,6,Joginder Sharma,2.7055555555555557
392181,1,15,6,A Flintoff,2.2333333333333334
392181,2,5,6,SL Malinga,-3.9727272727272727
392181,2,8,6,ST Jayasuriya,4.383333333333333
392181,2,12,6,ST Jayasuriya,0.05555555555555558
392181,2,15,6,SL Malinga,-5.555555555555555
392182,1,5,6,Kamran Khan,2.9333333333333336
392182,1,8,6,T Henderson,-0.9666666666666666
392182,1,12,6,YK Pathan,2.15
392182,1,15,6,SK Warne,-5.388888888888889
392182,2,5,6,R Vinay Kumar,-2.05
392182,2,8,6,JD Ryder,-8.625
392182,2,12,6,JD Ryder,-7.833333333333334
392183,1,5,6,VY Mahesh,6.136363636363637
392183,1,8,6,DL Vettori,-4.783333333333333
392184,1,5,6,Harmeet Singh,-3.8200000000000003
392184,1,8,6,PP Ojha,-1.1
392184,1,12,6,PP Ojha,-5.05
392184,1,15,6,SB Styris,-2.4
392184,2,5,6,I Sharma,0.005555555555555647
392184,2,8,6,M Kartik,0.07499999999999996
392184,2,12,6,M Kartik,1.3791666666666667
392185,1,5,6,R Vinay Kumar,5.566666666666667
392185,1,8,6,JH Kallis,6.883333333333333
392185,1,12,6,KP Pietersen,-4.675
392185,1,15,6,P Kumar,1.4444444444444444
392185,2,5,6,JA Morkel,-1.383333333333333
392185,2,8,6,A Flintoff,-3.6
392185,2,12,6,L Balaji,0.3500000000000001
392186,1,5,6,MC Henriques,4.166666666666667
392186,1,8,6,SC Ganguly,-6.1
392186,1,12,6,SC Ganguly,-3.2583333333333333
392186,1,15,6,MC Henriques,0.37777777777777777
392186,2,5,6,VS Malik,3.016666666666667
392186,2,8,6,PP Chawla,0.30000000000000004
392188,1,5,6,JH Kallis,3.7750000000000004
392188,1,8,6,A Kumble,1.025
392188,1,12,6,A Kumble,3.9708333333333337
392188,1,15,6,KP Pietersen,-3.2055555555555553
392188,2,5,6,RP Singh,-2.1611111111111114
392188,2,8,6,PP Ojha,1.7583333333333335
392188,2,12,6,PP Ojha,-0.4624999999999999
392188,2,15,6,SB Styris,-2.0666666666666664
392189,1,5,6,A Flintoff,6.0166666666666675
392189,1,8,6,JA Morkel,2.5083333333333333
392189,1,12,6,JA Morkel,1.1055555555555554
392189,1,15,6,MS Gony,1.9111111111111108
392189,2,5,6,PJ Sangwan,-2.1399999999999997
392189,2,8,6,DL Vettori,2.4833333333333334
392189,2,12,6,DL Vettori,-0.18333333333333351
392189,2,15,6,A Nehra,1.3111111111111113
392190,1,5,6,AB Agarkar,5.0
392190,1,8,6,BAW Mendis,-4.308333333333333
392190,1,12,6,BAW Mendis,-4.104347826086956
392190,1,15,6,CH Gayle,1.1166666666666667
392190,2,5,6,AD Mascarenhas,-0.30555555555555514
392190,2,8,6,SK Warne,-2.2
